IcahnEnterprises;менеджер по социальным сетям;47200
PNCFinancialServicesGroup;Фронтенд веб-разработчик;44800
UnitedServicesAutomobileAssn.;менеджер по контролю качества;48800
Hess;инженер беспроводной сети;52000
CairnEnergy;менеджер по проведению конференций;51200
AdaniPortsandSpecialEconomicZone;Аналитик по обеспечению качества;47200
FedEx;классный руководитель;50400
RyderSystem;дизайнер пользовательского интерфейса;52000
ZeeEntertainmentEnterprises;Дизайнер интерфейсов;52000
CSX;свадебный консультант;48000
Вкусноиточка;специалист по тестированию производительности;45600
TPGTelecom;адвокат по семейному праву;51200
ThyssenKruppAG;инженер-механик;52000
EnLinkMidstream;аналитик по сетевой безопасности;44800
NGLEnergyPartners;юридический секретарь;49600
BayerAG;бренд-менеджер по продукции;52000
Deere;социальный работник в школе;48000
MondelezInternational;создатель контента;44000
3M;Аналитик по доставке;44000
KKR;координатор по кадрам;52000
EasyJet;Семейная медсестра;51200
OtisWorldwide; фронт-энд разработчик;51200
OilSearch; Бэкэнд разработчик;49600
HCLTechnologies;Координатор цепочки поставок;48000
DTEEnergy;Координатор цепочки поставок;46400
AssociatedBritishFoods;B2B Консультант по продажам;47200
XcelEnergy;инженер-строитель;51200
DeutschePostDHLGroup;аналитик центра управления безопасностью;50400
Bodycote; фронт-энд разработчик;52000
OldRepublicInternational;Специалист по планированию налогов;44000
UnitedAirlinesHoldings;Координатор мероприятий;52000
TenetHealthcare;менеджер по стратегическим партнерствам;52000
RegionsFinancial;инженер-электрик;52000
CBREGroup;Дизайнер по освещению;49600
ОтельЛуна; Бизнес-аналитик;46400
Corning;контент-писатель;48000
LeidosHoldings;дизайнер пользовательского интерфейса;51200
Divi'sLaboratories;персональный налоговый консультант;45600
TataConsumerProducts;тестировщик автоматизированного оборудования;46400
FannieMae; руководитель отдела продаж;44800
SpotifyTechnologyS.A.;специалист по ИТ-поддержке;44000
BajajAuto;специалист по работе с клиентами;49600
Renishaw;менеджер по социальным сетям;52000
NewsCorp.;разработчик баз данных;44800
Arconic; Регистратор;44800
Revlon;штатная медсестра;51200
Dow;международный налоговый консультант;47200
Seaboard;аналитик по рискам;45600
Всезнайка;логопед;49600
EnterpriseProductsPartners;региональный директор по продажам;44000
CarrierGlobal; Семейная медсестра-практикант;47200
UnitedHealthGroup;Градостроитель;51200
Avnet;дизайнер интерфейсов;48800
UGI;Исследователь пользователей;50400
Disney+;менеджер по работе с клиентами;45600
GeneralElectric;финансовый аналитик;52000
BrighthouseFinancial;техник по поддержке настольных компьютеров;52000
DeutschePfandbriefbankAG;художественный куратор;48800
GlaxoSmithKline;Sales Account Executive;45600
Starbucks;разработчик мобильных приложений;44800
HindalcoIndustries;Agile Project Manager;52000
LincolnNational;инженер-строитель;52000
NestleIndia;аналитик по закупкам;47200
Электрокомпоненты;семейный консультант;50400
CommunityHealthSystems;аналитик по логистике;51200
EquitableHoldings;архитектор данных;44800
BajajFinserv;региональный директор по продажам;51200
PulteGroup;аналитик по логистике;46400
StocklandCorporation;дизайнер пользовательского интерфейса;44800
Group1Automotive;аналитик по обеспечению качества;52000
AltriaGroup;аналитик по обеспечению качества;51200
ReynoldsAmericanInc.;Специалист по документации;48000
Huntsman;финансовый бухгалтер;44000
RepublicServices;менеджер по работе со стратегическими клиентами;50400
ContinentalAG;Менеджер по инвентаризации;48800
Tesla;инженер по автоматизированному тестированию;44800
ContinentalResources;Дизайнер пользовательского интерфейса;52000
HenkelAG&Co.KGaA;торговый представитель;45600
WESCOInternational;консультант по устойчивому развитию;50400
Unilever;инженер по электронному оборудованию;47200
NRGEnergy;специалист по системной интеграции;52000
InterContinentalHotelsGroup;Бренд-стратег;44800
CeconomyAG;медсестра-практикант по оказанию неотложной помощи;48800
ConstellationBrands;судебный адвокат;46400
InterpublicGroup;инженер по сетевой безопасности;48000
Auto-OwnersInsurance;психолог-исследователь;45600
ODP;координатор художественного образования;51200
TitanCompany;менеджер по привлечению талантов;46400
страховаябиржаFarmers;классный руководитель;48800
PublixSuperMarkets;специалист по контролю за запасами;44000
USFoodsHolding;разработчик баз данных SQL;46400
CrodaInternational;менеджер по закупкам;47200
Travelers;IT-аналитик;50400
Textron;Практикующая медсестра по оказанию неотложной помощи;44000
UltaBeauty;менеджер по работе с ключевыми клиентами;49600
AmericanElectricPower;креативный копирайтер;48800
TencentHoldings;JavaScript разработчик;50400
TullowOil;Координатор мероприятий;48800
Qualcomm; руководитель отдела по работе с клиентами;49600
AutoNation;консультант по продажам B2B;51200
PeterKiewitSons;разработчик баз данных;47200
GeneralMills;менеджер строительных проектов;44800
WesternDigital;менеджер по социальным сетям;48000
PNCFinancialServicesGroup;Instructional Designer;48000
FarmersInsuranceExchange;контент-стратег;48800
CIMICGroup;координатор обучения;52000
AlibabaHealthInformationTechnology;Координатор по подбору персонала;52000
Exelon; Java бэкэнд разработчик;50400
SAPSE;руководитель группы продаж;51200
IBM(InternationalBusinessMachinesCorporation);детский логопед;50400
FidelityInvestments;инженер по большим данным;44000
IntercontinentalExchange;инженер по базам данных NoSQL;50400
PowerGridCorporationofIndia;планировщик спроса;44800
ConsolidatedEdison;свадебный дизайнер;48000
NorthropGrumman;организатор мероприятий;48000
Corteva;техник по поддержке настольных компьютеров;48000
Colgate-Palmolive;гериатрическая медсестра-практикант;49600
SFExpress;JavaScript разработчик;46400
Dover;координатор закупок;47200
LendleaseGroup;инженер по большим данным;52000
AsburyAutomotiveGroup;Специалист по планированию перевозок;45600
TDAmeritradeHoldingCorporation;менеджер по работе с ключевыми клиентами;52000
BritanniaIndustries;логопед для взрослых;45600
MuthootFinance;Координатор льгот;44800
Dana;дизайнер интерьера;49600
Aflac;инвестиционный аналитик;44800
QuantaServices;менеджер кампаний по электронной почте;44800
AshteadGroup;специалист по устойчивому развитию;48800
GlenmarkPharmaceuticals; Разработчик серверных приложений;48000
EastmanChemical;системный администратор;46400
CarnivalCorporation&plc;инженер-проектировщик;48000
AdaniGreenEnergy;координатор маркетинговых исследований;50400
FiatChryslerAutomobilesN.V.;Менеджер по работе с клиентами;44800
Газировка;Дизайнер по охране окружающей среды;48800
BYDCompany;менеджер по работе с клиентами;48000
DeltaAirLines;Дизайнер пользовательского интерфейса;49600
KinderMorgan;IT бизнес-аналитик;50400
WorkspaceGroup;аналитик социальных сетей;44800
CDW;Дизайнер пользовательского интерфейса;48000
Halma;юрист по вопросам опеки над детьми;52000
AES;архитектор проектов;48800
LKQ;дизайнер взаимодействия;48800
Salesforce;юрист по опеке над детьми;47200
SiemensIndia;юридический секретарь;47200
NextEraEnergy;Бренд-менеджер по продукции;52000
Computacenter;аналитик по контролю качества;48000
ВК; Специалист по анализу данных;52000
Hershey;Sales Account Executive;47200
TAGImmobilienAG;инженер по системам электропитания;52000
Блок;Специалист по сетевой безопасности;50400
Lindeplc; Менеджер по работе с клиентами;44800
Nucor;дизайнер коммерческого интерьера;47200
GreeElectricAppliances;консультант по работе с зависимыми людьми;44800
DCPMidstream;архитектор облачных вычислений;47200
BalfourBeatty;бизнес-аналитик данных;48000
AmeripriseFinancial;координатор цепочки поставок;44800
Банковскаягруппа;разработчик мобильных приложений;47200
MetLife;директор по уходу за больными;48000
AmericanTower;ветеринар мелких животных;52000
ExpediaGroup;инженер-химик;49600
ArcherDanielsMidland;аналитик по исследованию рынка;49600
SteelDynamics;менеджер по инфраструктуре;45600
Playtech;Аналитик по логистике;44000
UberTechnologies;менеджер ИТ-проектов;48800
Графическаяупаковка;менеджер по контролю качества;51200
JubilantFoodworks;Менеджер по работе с клиентами;52000
AGCO; Веб-разработчик;50400
Diageo;разработчик баз данных;48800
EversourceEnergy;специалист по продажам медицинских услуг;44000
Аэрофлот;офисный координатор;44800
Avantor;дизайнер взаимодействия;44000
Здоровье;дизайнер взаимодействия;45600
BHEL;представитель по внутренним продажам;44800
MarathonOil;испытатель автоматики;47200
GeelyAutomobileHoldings;Дизайнер пользовательского интерфейса;48800
Williams;менеджер по работе с клиентами;49600
SunPharmaceuticalIndustries;менеджер по обеспечению качества обслуживания;45600
BurberryGroup;тестировщик производительности;47200
